City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
441,Marmora,44.4583,7.094,51.31,89,93,3.98,IT,2021-11-03 10:28:47
442,Ghatampur,26.1667,80.1667,82.47,31,0,5.23,IN,2021-11-03 10:28:48
443,Mahebourg,-20.4081,57.7,81.25,69,40,12.66,MU,2021-11-03 10:28:48
444,Upington,-28.4478,21.2561,79.18,17,0,5.75,ZA,2021-11-03 10:28:49
445,Sherlovaya Gora,50.5667,116.25,29.17,71,22,7.56,RU,2021-11-03 10:28:49
446,Polloc,7.3553,124.2208,79.54,88,98,3.71,PH,2021-11-03 10:28:50
447,Washougal,45.5826,-122.3534,54.07,81,75,5.75,US,2021-11-03 10:28:51
448,Coahuayana,18.7333,-103.6833,73.89,87,99,3.69,MX,2021-11-03 10:28:52
449,Coos Bay,43.3665,-124.2179,53.92,100,1,6.91,US,2021-11-03 10:28:52
450,Gisborne,-38.6533,178.0042,51.94,95,100,24.34,NZ,2021-11-03 10:28:52
451,Seoul,37.5683,126.9778,56.64,74,75,2.3,KR,2021-11-03 10:25:48
452,Kavaratti,10.5669,72.642,81.88,75,91,4.65,IN,2021-11-03 10:28:54
453,Maceio,-9.6658,-35.7353,81.84,89,40,3.44,BR,2021-11-03 10:25:07
454,Koumac,-20.5667,164.2833,72.86,67,100,7.49,NC,2021-11-03 10:28:54
455,Oistins,13.0667,-59.5333,78.89,78,20,12.66,BB,2021-11-03 10:28:55
456,Karpogory,64.0019,44.4451,38.32,91,100,8.72,RU,2021-11-03 10:28:55
457,Jacareacanga,-6.2222,-57.7528,73.36,96,82,1.23,BR,2021-11-03 10:29:55
458,Eureka,40.8021,-124.1637,56.59,96,65,7.47,US,2021-11-03 10:25:53
459,Kano,12.0001,8.5167,91.29,24,0,12.66,NG,2021-11-03 10:29:56
460,Ust-Omchug,61.15,149.6333,5.47,96,76,6.02,RU,2021-11-03 10:29:57
461,Vigeland,58.0844,7.305,51.06,80,59,1.3,NO,2021-11-03 10:29:57
462,Mamallapuram,12.6264,80.1722,86.05,81,100,5.48,IN,2021-11-03 10:29:57
463,Payo,-3.7508,103.6372,79.7,90,100,0.87,ID,2021-11-03 10:29:58
464,Muros,42.7762,-9.0603,58.23,95,24,11.32,ES,2021-11-03 10:29:58
465,Salinopolis,-0.6136,-47.3561,80.69,80,97,8.88,BR,2021-11-03 10:29:59
466,Bumba,2.1833,22.4667,83.98,60,98,2.84,CD,2021-11-03 10:29:59
467,Merrill,45.1805,-89.6835,30.92,87,90,0.0,US,2021-11-03 10:27:27
468,Leinefelde,51.3833,10.3333,50.0,78,100,4.72,DE,2021-11-03 10:30:00
469,Yershov,51.3513,48.2766,45.41,56,100,16.4,RU,2021-11-03 10:30:00
470,Dahra,36.2546,0.8519,63.79,78,90,24.76,DZ,2021-11-03 10:30:01
471,Cwmbran,51.6545,-3.0228,50.25,89,36,9.84,GB,2021-11-03 10:30:02
472,Bonfim,3.0833,-59.95,79.02,76,78,1.86,BR,2021-11-03 10:30:03
473,Hwange,-18.3693,26.5019,104.23,16,16,4.83,ZW,2021-11-03 10:30:04
474,Berezovka,53.7214,25.4993,45.86,89,100,9.01,BY,2021-11-03 10:30:06
475,Jijiga,9.35,42.8,78.53,17,15,15.39,ET,2021-11-03 10:30:06
476,Ouango,4.3133,22.5552,87.22,55,100,3.33,CF,2021-11-03 10:30:07
477,Ketchikan,55.3422,-131.6461,46.87,87,90,4.61,US,2021-11-03 10:30:08
478,Bonavista,48.6499,-53.1147,42.12,72,6,6.4,CA,2021-11-03 10:30:09
479,Cuamba,-14.8031,36.5372,103.48,17,7,4.59,MZ,2021-11-03 10:30:10
480,Slave Lake,55.2834,-114.769,19.38,93,1,9.22,CA,2021-11-03 10:30:11
481,Uren,57.4552,45.7852,41.09,79,100,10.13,RU,2021-11-03 10:30:12
482,Yining,29.0361,114.5636,62.53,85,100,0.72,CN,2021-11-03 10:30:12
483,Urumqi,43.801,87.6005,50.95,35,0,6.71,CN,2021-11-03 10:28:03
484,Araouane,18.9048,-3.5265,95.31,11,0,7.49,ML,2021-11-03 10:30:13
485,Salekhard,66.53,66.6019,22.64,88,100,14.72,RU,2021-11-03 10:30:14
486,Sulina,45.1559,29.6536,61.97,61,8,9.22,RO,2021-11-03 10:30:15
487,Talavera De La Reina,39.9635,-4.8308,54.12,59,12,8.3,ES,2021-11-03 10:30:16
488,Storebo,60.0948,5.2271,49.77,85,40,5.01,NO,2021-11-03 10:30:16
489,Kloulklubed,7.0419,134.2556,79.3,72,84,8.72,PW,2021-11-03 10:30:17
490,Kearney,40.6995,-99.0815,38.98,92,90,8.01,US,2021-11-03 10:29:44
491,Kuching,1.55,110.3333,79.02,89,40,4.61,MY,2021-11-03 10:30:17
492,Felanitx,39.4696,3.1483,64.45,54,48,19.62,ES,2021-11-03 10:30:18
493,Sangmelima,2.9333,11.9833,76.12,82,92,1.52,CM,2021-11-03 10:30:18
494,Almaznyy,48.0448,40.045,51.94,87,100,12.84,RU,2021-11-03 10:30:19
495,Altay,47.8667,88.1167,16.16,82,99,5.08,CN,2021-11-03 10:30:19
496,Abu Dhabi,24.4667,54.3667,91.51,62,20,9.22,AE,2021-11-03 10:29:43
